name;address;sector
Optik Internasional;Jalan MT Haryono 8275311 Kota Bontang;Hardware (Retail)Hardwares (Wholesale)Hardware  (Manufacture)Opticians (Retail)
Jasa Optical;Jalan Melati 9 15418 Kota Tangerang Selatan;Hardware (Retail)Hardwares (Wholesale)Hardware  (Manufacture)Opticians (Retail)
Bausch Lomb Indonesia;Graha CIMB Niaga 12190 Jakarta;Hardware (Retail)Hardwares (Wholesale)Hardware  (Manufacture)Opticians (Retail)
Optik Abadi;Jalan Mangga Besar Raya 10210740 Jakarta;Hardware (Retail)Hardwares (Wholesale)Hardware  (Manufacture)Opticians (Retail)
Internasional Optik;Jalan Sepat 420211 Obi Timur  - Sum;Hardware (Retail)Hardwares (Wholesale)Hardware  (Manufacture)Opticians (Retail)
Tunggal Kurnia Sejati;Gedung Optik Tunggal 8910330 Jakarta;Hardware (Retail)Hardwares (Wholesale)Hardware  (Manufacture)Opticians (Retail)
Optik Jaya;Jalan Niaga Utara 1775112 Kota Samarinda;Hardware (Retail)Hardwares (Wholesale)Hardware  (Manufacture)Opticians (Retail)
Kalibata Optik;Jl. Pasar Minggu Raya 815419 Kota Tangerang Selatan;Hardware (Retail)Hardwares (Wholesale)Hardware  (Manufacture)Opticians (Retail)
Toko SS;Jl Mintorogo 39255182 Klaten  - Kabupaten;Hardware (Retail)Hardwares (Wholesale)Hardware  (Manufacture)Opticians (Retail)
Atalla Indonesia;Jl. Putra I 3315111 Klaten  - Kabupaten;Hardware (Retail)Hardwares (Wholesale)Hardware  (Manufacture)Opticians (Retail)
Optic Tehnica;Jalan Tunjungan 2560275 Kota Surabaya;Hardware (Retail)Hardwares (Wholesale)Hardware  (Manufacture)Opticians (Retail)
Optik Internasional;Jl. Gajah Mada 961263 Klaten  - Kabupaten;Hardware (Retail)Hardwares (Wholesale)Hardware  (Manufacture)Opticians (Retail)
Optik Omega;Jalan Imam Bonjol 2575112 Kota Samarinda;Hardware (Retail)Hardwares (Wholesale)Hardware  (Manufacture)Opticians (Retail)
Optik Sinar Ponorogo;Jalan Diponegoro 6963491 Klaten  - Kabupaten;Hardware (Retail)Hardwares (Wholesale)Hardware  (Manufacture)Opticians (Retail)
Lina Optik;Jl Kopo Sayati 24140228 Klaten  - Kabupaten;Hardware (Retail)Hardwares (Wholesale)Hardware  (Manufacture)Opticians (Retail)
Optik Internasional;Grand Tarakan 8877123 Kota Tarakan;Hardware (Retail)Hardwares (Wholesale)Hardware  (Manufacture)Opticians (Retail)
Optik Nusa;Jalan Kalimantan 7361121 Klaten  - Kabupaten;Hardware (Retail)Hardwares (Wholesale)Hardware  (Manufacture)Opticians (Retail)
Fajar Optikal;Jl Bogor Raya Kramat Jati Indah 15419 Kota Tangerang Selatan;Hardware (Retail)Hardwares (Wholesale)Hardware  (Manufacture)Opticians (Retail)
Oculus International;Jalan Hayam Wuruk 5510130 Jakarta;Hardware (Retail)Hardwares (Wholesale)Hardware  (Manufacture)Opticians (Retail)
King Hearing Aid Indonesia;Jalan Kudus 110220 Jakarta;Opticians (Retail)Shopping Centres And Large Stores
Detracon Primaintra;JL Kedoya Duri Raya Viii-B  Jakarta;Opticians (Retail)Shopping Centres And Large Stores
Optik Kurnia;Jalan Pandanaran 18957311 Klaten  - Kabupaten;Opticians (Retail)Shopping Centres And Large Stores
Optik Dua Satu;Jalan Gubeng Kertajaya 3 2960281 Kota Surabaya;Opticians (Retail)Shopping Centres And Large Stores
Lily Kasoem Metropolitan;-B Jalan Melawai Raya 2712160 Jakarta;Opticians (Retail)Shopping Centres And Large Stores
Optik Lucky;Jl. Surapati 3180362 Klaten  - Kabupaten;Opticians (Retail)Shopping Centres And Large Stores
Indra Utama Optik;Jalan Gandaria 7440191 Kota Bandung;Opticians (Retail)Shopping Centres And Large Stores
Optik Modern;Jl. Presiden KH Abdurrahman Wahid 13361419 Klaten  - Kabupaten;Opticians (Retail)Shopping Centres And Large Stores
Kertajaya Optik;Jalan Kertajaya Indah Regency 3760111 Kota Surabaya;Opticians (Retail)Shopping Centres And Large Stores
International Optik;Jalan Niaga Barat 3075112 Kota Samarinda;Opticians (Retail)Shopping Centres And Large Stores
Inti Citra Agung;Jalan Tunjungan 2460261 Kota Surabaya;Opticians (Retail)Shopping Centres And Large Stores
Metro Optik;Jalan Raya Pasar Minggu 2012510 Jakarta;Opticians (Retail)Shopping Centres And Large Stores
San Optic;Taman Kebon Jeruk 11630 Jakarta;Opticians (Retail)Shopping Centres And Large Stores
Eyedo Asia;Apartemen Bona Vista 112440 Jakarta;Opticians (Retail)Shopping Centres And Large Stores
Optik 99;Jl. Baratajaya 5960132 Kota Surabaya;Opticians (Retail)Shopping Centres And Large Stores
Optik Rainbow;Jalan Pahlawan 10357424 Klaten  - Kabupaten;Opticians (Retail)Shopping Centres And Large Stores
Shafa Marwa Optik;Proy Senen 16820 Klaten  - Kabupaten;Opticians (Retail)Shopping Centres And Large Stores
Inti Citra Agung;Jalan Merdeka 5640117 Kota Bandung;Opticians (Retail)Shopping Centres And Large Stores
Optik Netro Lens;Jalan Ahmad Yani 673111 Palangkaraya  - Palangka;Opticians (Retail)Shopping Centres And Large Stores
Optik Tjiang;Jl. Dhoho 7564122 Klaten  - Kabupaten;Opticians (Retail)Shopping Centres And Large Stores
Optik Jaya;Jalan Pemuda 3862318 Klaten  - Kabupaten;Opticians (Retail)
Naga Mas Optic;ITC Mangga Dua 14430 Jakarta;Opticians (Retail)
Mandiri Sejahtera Mikuni;Jalan Tanjung Duren 35011470 Jakarta;Opticians (Retail)
Aini Optik;Jalan HR Rasuna Said 12920 Jakarta;Opticians (Retail)
Optik Melawai;Jalan Gajah Mada 9078122 Kota Pontianak;Opticians (Retail)
Karya Optikal;Jalan Antara 4310110 Jakarta;Opticians (Retail)
Sukmul Hospital;Jalan Tasikmalaya 1810230 Jakarta;Opticians (Retail)
Central General Services;Jalan Mohammad Husni Thamrin 10250 Jakarta;Opticians (Retail)
PD. Asia Pasific;Jalan Mangga Dua 10730 Jakarta;Opticians (Retail)
Belindo Eka Pratama;Jalan Garuda 8010610 Jakarta;Opticians (Retail)
Istana Optik;Jalan Blauran 8860251 Kota Surabaya;Opticians (Retail)
Wijaya Metalindo Optical;Jalan Raya Kebayoran Lama 19412220 Jakarta;Opticians (Retail)
Bipola Optik;Jalan A 10210 Jakarta;Opticians (Retail)
Citra Optik;ITC Mangga Dua 14430 Jakarta;Opticians (Retail)
Graha Optikal;Jalan Pesanggrahan 4011620 Jakarta;Opticians (Retail)
Rainbow Indo Optical Industry;Jalan Tol Medan - Binjai 1520351 Kabupaten Deli Serdang;Opticians (Retail)
Suryadi Jaya;Jalan Lombok 6910230 Jakarta;Opticians (Retail)
Adi Warna Optical;Jalan Kyai Maja 4912120 Jakarta;Opticians (Retail)
Sehat Optik;Jalan Kergan 56257485 Klaten  - Kabupaten;Opticians (Retail)
PMN RS Mata Cicendo;Jl. Cicendo 440117 Klaten  - Kabupaten;Opticians (Retail)
Astron Optindo Industris;Jalan Daan Mogot 1311730 Jakarta;Opticians (Retail)
Fatmawati Optik;ITC Fatmawati 12150 Jakarta;Opticians (Retail)
Daya Optic;Jalan Jenderal Ahmad Yani 84540125 Klaten  - Kabupaten;Opticians (Retail)
Restu Optik;Jalan Ciputat Raya 512240 Jakarta;Opticians (Retail)
Bali Bijaksana;Rukan Darmawangsa Square 43 Jakarta;Opticians (Retail)
Joyo Optical;Jalan Tidar 3460251 Kota Surabaya;Opticians (Retail)
Bintang Optik;Jalan Letnan Jenderal S Parman 11470 Jakarta;Opticians (Retail)
Borobudur Optik;Jalan Taman Duta 1 1216418 Depok;Opticians (Retail)
Tasikmalaya Optik;Jalan Soekarno - Hatta 9063491 Klaten  - Kabupaten;Opticians (Retail)
Blok M Optik;Jalan Cilacap 4310310 Jakarta;Opticians (Retail)
Sanyo Jaya Components Indonesia;Jl. Teuku Umar 44 Klaten  - Kabupaten;Opticians (Retail)
Duta Lensa Optik;Jalan Raya Serpong 15344 Kota Tangerang Selatan;Opticians (Retail)
Model Baru Optikal;Jl Taman Permata Indah 14450 Jakarta;Opticians (Retail)
Indo;Pusat Grosir Surabaya Ground Floor 160174 Kota Surabaya;Opticians (Retail)
Riski Optical;Jl Bungur Besar Xviii 1910610 Jakarta;Opticians (Retail)
Santipratama Astrindo;Jalan Dupak Rukun 360182 Kota Surabaya;Opticians (Retail)
Metro ITC Optik;Jalan Arteri Mangga Dua 10730 Jakarta;Opticians (Retail)
Sambas Optik;Plaza Bl A 54115 Klaten  - Kabupaten;Opticians (Retail)
Jaya Optic;Floor 40218 Klaten  - Kabupaten;Opticians (Retail)
Internasional Image Inovator;Jalan Gunung Sahari 110710 Jakarta;Opticians (Retail)
Polar;Jalan Mangga Dua 10730 Jakarta;Opticians (Retail)
Pucang Optical;Jl Raya Kalirungkut 7560293 Kota Surabaya;Opticians (Retail)
Terang Optik;Jl. Pasar Kebayoran Lama 112240 Jakarta;Opticians (Retail)
Boellaard Tri Vision;Komplek Duta Merlin 4510130 Jakarta;Opticians (Retail)
Sahabat Optik;Jl. Raya PB Sudirman 1267312 Klaten  - Kabupaten;Opticians (Retail)
Bandung Optik;ITC Kuningan GF 12940 Jakarta;Opticians (Retail)
International Sands Indonesia;Jalan Senen Raya 410110 Jakarta;Opticians (Retail)
Central Optical;Jalan Haji Agus Salim 4210240 Jakarta;Opticians (Retail)
Widya Optik;Jalan Alpokat 557413 Klaten  - Kabupaten;Opticians (Retail)
Ayu Optik;Mal 12160 Jakarta;Opticians (Retail)
Surya Adijaya;Jalan Lombok 6910230 Jakarta;Opticians (Retail)
Subur Jaya;Jalan Arteri Mangga Dua 10730 Jakarta;Opticians (Retail)
Masterindo Turbo Tangguh;JL Kedoya Angsana Raya  Jakarta;Opticians (Retail)
Bitaragana;Jalan HOS Cokroaminoto 8210230 Jakarta;Opticians (Retail)
Rueyshing Indoprima;Jalan Kyai Haji Hasyim Ashari 2210140 Jakarta;Opticians (Retail)
Bintang Saudara Hardware Medical & Dental Supply;Jalan Asia 21220212 Medan;Opticians (Retail)
Chika Sarana Komputerindo;Dusun Celowok  Sungai Ambawang  - Jawa Tengah;Opticians (Retail)
Ika Sempurna;JL Panglima Polim 125 Jakarta;Opticians (Retail)
Kids Park Children's Wear;JL Hajat Arifin 99 Medan;Opticians (Retail)
Multisesindo Selaras;Jalan Pecenongan 5510130 Jakarta;Opticians (Retail)
Ceria, Optical;Jl. Prof. Dr. Emil Salim 931411 Klaten  - Kabupaten;Opticians (Retail)
Optik Remona;Jl. Danau Semayang 6675511 Jakarta Selatan  - Karet;Opticians (Retail)
Tirta Optikal;Jalan Bogor Raya 3116951 Depok;Opticians (Retail)
Optik International;Jalan Ahmad Yani 2373111 Palangkaraya  - Palangka;Opticians (Retail)
Pamulang Optik;Jalan Mirah Delima Raya 1310640 Jakarta;Opticians (Retail)
Axis Sentral Optik;Komplek Citraland Mall 11470 Jakarta;Opticians (Retail)
Optik Vista;Jl. SW. Pranoto 3165111 Klaten  - Kabupaten;Opticians (Retail)
Murni Optical;Jalan Lancar 4210640 Jakarta;Opticians (Retail)
Optik Internasional;Jl. Raya Ruko Pasar Besar 67131 Klaten  - Kabupaten;Opticians (Retail)
Family A Haroem Optik;Jalan Cililitan Besar 1513640 Jakarta;Opticians (Retail)
Lily Kasoem;Jl. Melawai Ix 3212160 Jakarta;Opticians (Retail)
