name;address;sector
Apotek Kimia Farma;Jl. Letjen Suprapto 7668166 Klaten  - Kabupaten;Chemists
Apotek Kimia Farma;Jalan Simo 1457432 Klaten  - Kabupaten;Chemists
Intervet Indonesia;Wisma 46 Kota BNI 27Th Floor Suite 27.01 10220 Jakarta;Chemists
Apotek Kimia Farma Jati Mulya;Jl. Raya Pengasinan 17144 Ruko Jatimulya Blok A No. 10;Chemists
Karya Daya Syafarmasi;Kawasan Industri Bogorindo 16810 Kota Bogor;Chemists
Apotek Kimia Farma;Jalan Diponegoro 457416 Klaten  - Kabupaten;Chemists
Apotek Kimia Farma408;Jl. Rd. Syamsudin 5043111 Klaten  - Kabupaten;Chemists
Citra Madakaripura Persada;Jalan Soekarno - Hatta 8867219 Kota Probolinggo;Chemists
Kimia Farma;Jl. Letjend. R. Suprapto 12358153 Klaten  - Kabupaten;Chemists
Kimia Farma Apotek;Jl. P.B. Sudirman 33967253 Klaten  - Kabupaten;Chemists
Klinik Kimia Farma 253;Jalan Yusuf Martadilaga 11442151 Kasemen  - Banten;Chemists
Apotek Kimia Farma;-C Jl. Jend. Gatot Subroto 3722774 Obi Timur  - Sum;Chemists
Apotek Kimia Farma;Jalan Raya Daru 816370 Klaten  - Kabupaten;Chemists
Apotek Kimia Farma396;Jalan Hasanuddin 13795114 Kota Manado;Chemists
Apotek Kimia Farma Puri Indah;Jl. Cemengkalang 3561263 Klaten  - Kabupaten;Chemists
Apotek Kimia Farma 383;Jl. Pinus 3870241 Manis Mata  - Kalimantan;Chemists
Apotek Kimia Farma;Jl. Betoambari 493725 Kota Baubau;Chemists
Klinik Kimia Farma 74;Jalan Bandara Sam Ratulangi 3195113 Kota Manado;Chemists
Klinik Cahaya Husada;Jalan Rawa 6853266 Cilacap Tengah  - Sidanegara;Chemists
Lab Pramita;Jl. Diponegoro 3720215 Obi Timur  - Sum;Chemists
Kimia Farma;Komp. Pertokoan SP 29439 Riau Islands;Chemists
Horiba Indonesia;Jalan Jalur Sutera 15144 Klaten  - Kabupaten;Chemists
