name;address;sector
Jamu Puspo Internusa;Jalan Taman Tanah Abang 3 311430 Jakarta;Chemical Products (Manufacture, Wholesale)DrugsHerbalist (Retail)
Herbal Utama;Perum Kota Legenda Zamrud 17111 Kota Bekasi;Chemical Products (Manufacture, Wholesale)DrugsHerbalist (Retail)
Sri Haryanto Lestari Makmur;Jl. Parang Tritis 55188 Klaten  - Kabupaten;Chemical Products (Manufacture, Wholesale)DrugsHerbalist (Retail)
Indoherbal Sumber Medika;Jl. Raya Legundi Krikilan - Driyorejo 68661177 Klaten  - Kabupaten;Chemical Products (Manufacture, Wholesale)DrugsHerbalist (Retail)
Njonja Meneer;Perumahan Pondok Raden Fatah 1 Blok J2 19150113 Kota Semarang;Chemical Products (Manufacture, Wholesale)DrugsHerbalist (Retail)
Sinar Titong Utama;Jalan Regensi 2 Tangerang 2715560 Klaten  - Kabupaten;Chemical Products (Manufacture, Wholesale)DrugsHerbalist (Retail)
Aneka Karya Estetika;Jalan Solo 612980 Jakarta;Chemical Products (Manufacture, Wholesale)DrugsHerbalist (Retail)
Soman Platinum International;Ged The Honey Lady 114440 Jakarta;Herbalist (Retail)
Kamyabi Network International;Jalan Seroja 115310 Kota Tangerang Selatan;Herbalist (Retail)
Marindolab Pratama;Jl. Modern Industri Iii  Kota Serang;Herbalist (Retail)
Perum Bio Farma;Jalan Pasteur 2840131 Bandung;Herbalist (Retail)
Bang Ali Toko;Jl. Sultan Hasanuddin 13468465 Klaten  - Kabupaten;Herbalist (Retail)
Mazzuri;Jl. Protokol 50 Kabupaten Batu Bara;Herbalist (Retail)
Tjahaya Baru;Pergudangan Tambak Sawah 260111 Kota Surabaya;Herbalist (Retail)
Nyonya Meneer;Jl. Raden Patah 19150126 Klaten  - Kabupaten;Herbalist (Retail)
Gelori Toko;Jl. Raya Parung - Bogor 16330 Kota Bogor;Herbalist (Retail)
Radio Amanah Berkah Pelalawan;Ukui Dua  Klaten  - Kabupaten;Herbalist (Retail)
Kumala Sakti Prima;Perum Pondok Jati AK - 861251 Klaten  - Kabupaten;Herbalist (Retail)
Djasa Muda Indonesia;Jl. Cilandak Kko 12430 Jakarta;Herbalist (Retail)
Akar Sari;Jl. Moch Yamin 13857149 Surakarta;Herbalist (Retail)
Farhan Mandiri Gemilang;Jl. Trans Sulawesi 527 Kabupaten Luwu Utara;Herbalist (Retail)
Industri Jamu & Cosmetic Bafar;Jalan Bungur Besar 5310710 Jakarta;Herbalist (Retail)
Karya Herbal Nasional;Jalan Tambak Aji 1050155 Kota Semarang;Herbalist (Retail)
Al Manar Herbafit;Jl. Glondong 55711 Klaten  - Kabupaten;Herbalist (Retail)
Agungsejahtera Sejati;Jalan Remaja 3 10640 Jakarta;Herbalist (Retail)
Ham Jaya International;Graha Menara Hijau  Jakarta;Herbalist (Retail)
Multiguna Semesta;Jalan Kemandoran 8 912210 Jakarta;Herbalist (Retail)
Sumber Multi Vita;Jalan Profesor Doktor Latumeten 711330 Jakarta;Manufacture And Sale Of Pharmaceutical Based ProductsPhytopharmaceutical Products
Kappa Carrageenan Nusantara;Jl. Raya Pasuruan-Malang 1067172 Klaten  - Kabupaten;Manufacture And Sale Of Pharmaceutical Based ProductsPhytopharmaceutical Products
Ithabi Sentra Herbal;Kantor Taman A9 Unit C8-C14 912950 Jakarta;Manufacture And Sale Of Pharmaceutical Based ProductsPhytopharmaceutical Products
Tenaga Tani Farma;Jl. Kebon Manis IV 111530 Jakarta;Manufacture And Sale Of Pharmaceutical Based ProductsPhytopharmaceutical Products
Asosiasi Produsen & Ekportir Tanaman Obat Indonesia;Jl. Raya Solo 614527 Salatiga;Manufacture And Sale Of Pharmaceutical Based ProductsPhytopharmaceutical Products
Gujati 59 Utama;Jl. Raya Solo Wonogiri 5957571 Klaten  - Kabupaten;Manufacture And Sale Of Pharmaceutical Based ProductsPhytopharmaceutical Products
Lima Enam Bintang Utama;Jl Pangkalan Jati V 41 Jakarta;Manufacture And Sale Of Pharmaceutical Based ProductsPhytopharmaceutical Products
Bayer Indonesia;Menara Astra 10220 Jakarta;Manufacture And Sale Of Pharmaceutical Based ProductsPhytopharmaceutical Products
Teguhsindo Lestaritama;Jl. H Miran 3213450 Jakarta;Manufacture And Sale Of Pharmaceutical Based ProductsPhytopharmaceutical Products
Indokor Eneltisindo;JL Raya Cilandak KKO 6 Jakarta;Manufacture And Sale Of Pharmaceutical Based ProductsPhytopharmaceutical Products
Industri Jamu Borobudur;Jalan Sumber Mas 1 Kota Semarang;Manufacture And Sale Of Pharmaceutical Based ProductsPhytopharmaceutical Products
Intron Life Sciences Indonesia;Galeri Niaga Mediterania 214460 Jakarta;Manufacture And Sale Of Pharmaceutical Based ProductsPhytopharmaceutical Products
Faritex Trading Company;Jalan Kota Baru 11440 Jakarta;Manufacture And Sale Of Pharmaceutical Based ProductsPhytopharmaceutical Products
Pindo Wira Burindo;P O Box 35 Jakarta;Manufacture And Sale Of Pharmaceutical Based ProductsPhytopharmaceutical Products
