name|address|sector
Lpse Kota Kediri|Jalan Basuki Rahmat 1564121 Kota Kediri|Administration - Government & Senate
Kantor Dinas Peternakan Perikanan Dan Kelautan Provinsi DKI Jakarta|Jalan Gunung Sahari Raya 110110 Jakarta|Administration - Government & Senate
Bapesitelda|Jalan Taman Sakura 5540221 Kota Bandung|Administration - Government & Senate
Kantor Dinas Kehutanan Propinsi Jawa Tengah|Jalan Menteri Supeno 150241 Kota Semarang|Administration - Government & Senate
Sumut Smart Province|Jl. H. Muhammad Said 2720235 Medan Perjuangan|Administration - Government & Senate
Dinas Peternakan Dan Kesehatan Hewan Provinsi Bali|Jl. Wr. Supratman 7180253 Dompu  - Bali|Administration - Government & Senate
Kantor Dinas Tata Ruang Dan Permukiman Provinsi Sulawesi Selatan|Jl. A. P Pettarani 9090222 Jakarta Timur  - Makasar|Government AgenciesAdministration - Government & Senate
Kantor Dinas Koperasi Dan Usaha Kecil Menengah Prop. Riau|Jalan Pepaya 6728126 Kota Pekanbaru|Government AgenciesAdministration - Government & Senate
Provincial Health Office. NTT|Jalan Palapa 2285111 Kota Kupang|Government AgenciesAdministration - Government & Senate
Dinas Perindustrian Dan Energi|Jalan Taman Jatibaru 111430 Jakarta|Government AgenciesAdministration - Government & Senate
Rumah Sakit Umum Saras Husada|Jalan Jenderal Sudirman 6054114 Klaten  - Kabupaten|Government AgenciesAdministration - Government & Senate
Kantor Dinasenergi Dan Sumber Daya Mineral Provinsi Kalimantan Barat|Jalan Letnan Jenderal Sutoyo 778121 Kota Pontianak|Government AgenciesAdministration - Government & Senate
Kantor Dinas Tenaga Kerja Dan Tranmigrasi Provinsi Sulawesi Utara|Jalan 17 Agustus 1795119 Kota Manado|Government AgenciesAdministration - Government & Senate
Benpas Radio|Jalan Letnan Jenderal S Parman 541211 Klaten  - Kabupaten|Government AgenciesAdministration - Government & Senate
Perusahaan Daerah Air Minum|Jalan Alpokat 457413 Klaten  - Kabupaten|Government AgenciesAdministration - Government & Senate
Kantor Dinas Transmigrasi Dan DPH Prop.Bengkulu|Jalan Pembangunan 12 Kota Bengkulu|Government AgenciesAdministration - Government & Senate
Pemerintah Kota Samarinda|Jalan Kesuma Bangsa 175117 Kota Samarinda|Government AgenciesAdministration - Government & Senate
Dinas Kehutanan Provinsi Kalimantan Tengah|Jalan Imam Bonjol 173111 Palangkaraya  - Palangka|Government AgenciesAdministration - Government & Senate
North Tapanuli District Planning Agency|B Jl Letjend S Parman 122411 Kabupaten Tapanuli Selatan|Government AgenciesAdministration - Government & Senate
Kantor Bupati Sarolangun|Kompleks Perkantoran Gunung Kembang 110160 Klaten  - Kabupaten|Government AgenciesAdministration - Government & Senate
Dinas Pendidikan Kabupaten Klaten|Jalan Pemuda 15157423 Klaten  - Kabupaten|Government AgenciesAdministration - Government & Senate
Lembaga Pengembangan Jasa Konstruksi Nasional|Jalan Waja 1 3510410 Jakarta|Government AgenciesAdministration - Government & Senate
Dinas Komunikasi Dan Informatika Kabupaten Tangerang|Jalan Haji Somawinata 115720 Klaten  - Kabupaten|Government AgenciesAdministration - Government & Senate
Pemkab Grobogan|Jl. Gatot Soebroto 658111 Klaten  - Kabupaten|Government AgenciesAdministration - Government & Senate
Pemerintah Daerah Kabupaten Batang Hari|Jl. Jenderal Sudirman 236613 Kabupaten Batang Hari|Government AgenciesAdministration - Government & Senate
Dinas Komunikasi Dan Informatika Provinsi Jawa Timur|Jalan Jenderal Ahmad Yani 24260231 Kota Surabaya|Government AgenciesAdministration - Government & Senate
